Player_ID,name,minutes,rows,seasons,first_season,last_season,is_alnum,code_by_name
P001142,"CALATHES, PAT",0.0,9,1,2016,2016,False,
P002072,"IVLEV, VLADIMIR",7.35,14,1,2021,2021,False,
P002279,"KOMOLOV, ARTEM",3.6,10,1,2021,2021,False,
P002358,"SUAREZ, ALEX",0.0,7,1,2016,2016,False,
P002871,"MARAGKOS, PARIS",0.0,1,1,2016,2016,False,
P003481,"KESSENS, MICHAEL",0.0,5,1,2024,2024,False,
P004289,"KAVVADAS, VASILIS",123.85,23,1,2021,2021,False,
P004381,"SPISSU, MARCO",360.1666666666667,25,1,2021,2021,False,
P004624,"GAVRILOV, ALEXANDER",0.0,1,1,2017,2017,False,
P004645,"MINIOTAS, REGIMANTAS",85.16666666666667,13,1,2021,2021,False,
P004804,"PATEEV, RUSLAN",0.0,6,1,2017,2017,False,
P004996,"GUVEN, EGEMEN",0.0,3,1,2021,2021,False,
P005681,"SENA, WESLEY",0.0,8,1,2016,2016,False,
P005717,"KHABIROV, RUSLAN",0.0,6,1,2016,2016,False,
P005961,"ASTAPKOVICH, ANTON",0.0,1,1,2017,2017,False,
P006013,"ZALMANSON, TOMER",0.0,3,1,2016,2016,False,
P006020,"EBO, AMIT",0.0,3,1,2025,2025,False,
P006084,"FONT, ALEIX",0.0,1,1,2017,2017,False,
P006336,"WHITE, OKARO",668.3,30,1,2021,2021,False,
P006481,"MORGAN, RAYMAR",21.666666666666668,1,1,2021,2021,False,
P006648,"BAYKAN, OGULCAN",0.0,2,1,2016,2016,False,
P006702,"GIARDINI, SAMUELE",0.0,3,1,2016,2016,False,
P006705,"LAGANA, MATTEO",0.0,2,1,2016,2016,False,
P006781,"BEN HARUSH, IDDO",0.0,2,1,2016,2016,False,
P007051,"TUKMAKOV, AZAT",0.0,7,1,2016,2016,False,
P007338,"UZINSKII, DMITRII",270.1333333333333,25,1,2021,2021,False,
P007339,"ZHBANOV, GEORGY",0.0,3,1,2021,2021,False,
P007395,"RAKICEVIC, PETAR",0.0,16,1,2016,2016,False,
P007487,"KOCHERGIN, DANIIL",0.0,3,1,2020,2020,False,
