season,club,side,pc,e_lp,e_scored,ppm_true,avail_true
2025,MIL,cap_noshape,1518,0.0,0.0,0.2693026983702912,1.0
2025,MIL,cap_noshape,3469,28.13899,28.13899,0.8148877714996631,0.8947368421052632
2025,MIL,cap_noshape,3941,24.111584,24.111584,0.9197357231634721,0.9210526315789473
2025,MIL,cap_noshape,7027,25.097064,25.097064,0.6443699892305852,0.8421052631578947
2025,MIL,cap_noshape,7673,0.0,0.0,0.31578947368421056,0.02631578947368421
2025,MIL,cap_noshape,8987,27.828489,25.263157894736842,0.6118995510029106,0.7894736842105263
2025,MIL,cap_shape,11196,24.86886,24.86886,0.7660149215333163,0.868421052631579
2025,MIL,cap_shape,11209,0.0,0.0,0.20315145201198076,0.6578947368421053
2025,MIL,cap_shape,11218,27.346757,0.8421052631578947,0.0,0.02631578947368421
2025,MIL,cap_shape,11442,13.390741,10.947368421052632,0.44813278008298757,0.34210526315789475
2025,MIL,cap_shape,12515,9.7535575,9.7535575,0.389465045139148,0.8421052631578947
2025,MIL,cap_shape,12608,23.325261,23.325261,0.4755902865305437,0.9736842105263158
2025,MIL,cap_shape,12712,23.036774,23.036774,0.5083445560082508,1.0
2025,MIL,cap_shape,1518,0.0,0.0,0.2693026983702912,1.0
2025,MIL,cap_shape,3941,17.959649,17.959649,0.9197357231634721,0.9210526315789473
2025,MIL,cap_shape,5791,13.571491,13.571491,0.6781448969596504,1.0
2025,MIL,cap_shape,7027,18.918421,18.918421,0.6443699892305852,0.8421052631578947
2025,MIL,cap_shape,8987,27.828489,25.263157894736842,0.6118995510029106,0.7894736842105263
2025,MIL,club,11064,6.6837719298245615,6.6837719298245615,0.2756086357372531,0.5789473684210527
2025,MIL,club,11199,14.742543859649127,14.742543859649127,0.6372534436081277,0.6842105263157895
2025,MIL,club,11980,2.145614035087719,2.145614035087719,0.2085036794766966,0.2631578947368421
2025,MIL,club,12593,24.020614035087718,24.020614035087718,0.4447933974838863,0.9473684210526315
2025,MIL,club,13384,22.54298245614035,22.54298245614035,0.468111599673139,1.0
2025,MIL,club,13385,0.35043859649122805,0.35043859649122805,0.4505632040050062,0.05263157894736842
2025,MIL,club,1518,16.390350877192983,16.390350877192983,0.2697350816162697,1.0
2025,MIL,club,3048,4.89780701754386,4.89780701754386,0.4298379152861108,0.4473684210526316
2025,MIL,club,4004,20.299999999999997,20.299999999999997,0.5055742805289085,0.9210526315789473
2025,MIL,club,5379,0.406578947368421,0.406578947368421,-0.3236245954692557,0.05263157894736842
2025,MIL,club,5670,1.0868421052631578,1.0868421052631578,0.1452784503631961,0.18421052631578946
2025,MIL,club,6277,0.4526315789473684,0.4526315789473684,0.6395348837209303,0.02631578947368421
2025,MIL,club,6509,2.3605263157894734,2.3605263157894734,0.1560758082497213,0.2631578947368421
2025,MIL,club,7056,18.90175438596491,18.90175438596491,0.4803229998143679,0.9473684210526315
2025,MIL,club,7831,24.773684210526316,24.773684210526316,0.4758869768429998,0.9210526315789473
2025,MIL,club,8985,17.249561403508775,17.249561403508775,0.4714078669683948,0.7631578947368421
2025,MIL,club,8987,19.439035087719297,19.439035087719297,0.6118995510029106,0.7894736842105263
2025,MIL,club,9622,4.571052631578947,4.571052631578947,0.4720782959124928,0.3157894736842105
2025,MUN,cap_noshape,11194,17.619571,17.619571,0.6540608142161165,1.0
2025,MUN,cap_noshape,11196,26.669815,26.669815,0.7660149215333163,0.868421052631579
2025,MUN,cap_noshape,11209,0.0,0.0,0.20315145201198076,0.6578947368421053
2025,MUN,cap_noshape,11981,26.619875,24.42105263157895,0.6939115929941618,0.7631578947368421
2025,MUN,cap_noshape,11982,24.69547,24.69547,0.3365705672473336,1.0
2025,MUN,cap_noshape,12515,16.670911,16.670911,0.389465045139148,0.8421052631578947
2025,MUN,cap_noshape,12712,27.800978,27.800978,0.5083445560082508,1.0
2025,MUN,cap_noshape,1518,0.0,0.0,0.2693026983702912,1.0
2025,MUN,cap_noshape,6835,27.323381,27.323381,0.5603027949027322,0.9210526315789473
2025,MUN,cap_noshape,7027,28.016479,26.94736842105263,0.6443699892305852,0.8421052631578947
2025,MUN,cap_noshape,7673,0.0,0.0,0.31578947368421056,0.02631578947368421
2025,MUN,cap_noshape,9513,4.5835205,4.5835205,0.28148432993655065,0.6842105263157895
2025,MUN,cap_shape,11085,15.37598,15.37598,0.3544402675389347,0.7368421052631579
2025,MUN,cap_shape,11194,23.787614,23.787614,0.6540608142161165,1.0
2025,MUN,cap_shape,11196,22.105599,22.105599,0.7660149215333163,0.868421052631579
2025,MUN,cap_shape,11209,0.0,0.0,0.20315145201198076,0.6578947368421053
2025,MUN,cap_shape,11982,24.69547,24.69547,0.3365705672473336,1.0
2025,MUN,cap_shape,12515,16.15516,16.15516,0.389465045139148,0.8421052631578947
2025,MUN,cap_shape,12712,27.800978,27.800978,0.5083445560082508,1.0
