a,b,ratio,sd_q,sd_lb,b_budget,drop_DUB,drop_HTA,sd_qz
DUB,RED,0.8014006506096996,9.971392095680505,0.4377566840616022,0.339651636989467,1,0,0.6017853967193877
DUB,TEL,0.7978569008784312,10.015377815587382,0.43651600757165065,0.3338060950783174,1,0,0.6776941723331765
DUB,ULK,0.8523126840151759,9.88987821466138,0.4377566840616022,0.2526255455763319,1,0,0.461112039166303
DUB,VIR,0.8214256655470851,9.994114736476039,0.42865872553090995,0.3055231205420687,1,0,0.6409992107743272
DUB,ZAL,0.7304791665639,9.849479346570517,0.4338818412560619,0.40113204713622447,1,0,0.3913933072812089
HTA,IST,0.6924436370437143,9.561711767261983,0.43430585061171856,0.408287093905692,0,1,-0.1052243371020473
HTA,MAD,0.8185191543875286,9.52074052978312,0.4291127213540399,0.31048294266034226,0,1,-0.17593084091707287
HTA,MCO,0.8096517473058505,10.025929113973087,0.4377456405934306,0.3088415510088748,0,1,0.6959031761482851
HTA,MIL,0.8034531747166747,10.109939339923677,0.4377456405934306,0.314725061394613,0,1,0.8408846247740728
HTA,MUN,0.8204773884667845,9.72969529796276,0.4310012580582129,0.31221383647947504,0,1,0.18467484303581852
HTA,OLY,0.8349397516224045,8.852049511731197,0.41440105685299816,0.3167772610718929,0,1,-1.329930742515228
HTA,PAM,0.7289462091378135,9.980280499716436,0.43333687297814427,0.4025359639801324,0,1,0.6171246447516264
HTA,PAN,0.8123992968058389,10.080543168962572,0.395492257710567,0.29831524492942646,0,1,0.7901539023915514
HTA,PAR,0.7923799018813698,9.804046131432502,0.43708973487771113,0.3095192400713037,0,1,0.3129865029677615
HTA,PRS,0.8457222339826611,10.105913876583267,0.42439074737368343,0.24184473345511262,0,1,0.8339376430241857
HTA,RED,0.8152258641586639,10.083132735150581,0.4331470704001107,0.3030984720001725,0,1,0.7946228709367699
HTA,TEL,0.8102631443559054,10.123951418148462,0.43223891088776484,0.30137444813588843,0,1,0.8650661024013541
HTA,ULK,0.8745592510286889,9.992783660049348,0.4331470704001107,0.20764138369615498,0,1,0.6387020929367103
HTA,VIR,0.835202271213167,10.099336197382286,0.4243907473736834,0.2705854357105189,0,1,0.8225861504128588
HTA,ZAL,0.740269377874527,9.965862319322305,0.4296119087171017,0.3729405706709752,0,1,0.5922423324326662
IST,MAD,0.683198073084621,9.05916452710093,0.4395895976101218,0.42699005340338114,0,0,-0.9725000295194506
