Season,Player_ID,games_bx,minutes_bx,pir_bx
2016,P007400   ,35,607.95,173
2016,P007423   ,8,16.183333333333334,-6
2016,P007427   ,29,547.8833333333333,226
2016,P007434   ,11,89.41666666666667,28
2016,P007595   ,16,223.2,56
2016,P007615   ,17,63.78333333333333,6
2016,P007616   ,17,156.63333333333333,56
2016,P007759   ,8,33.833333333333336,-5
2016,P007764   ,1,0.0,0
2016,P007765   ,6,119.91666666666666,91
2016,P007768   ,7,21.583333333333336,7
2016,PAAX      ,34,381.4,214
2016,PABN      ,30,723.8,293
2016,PADI      ,17,246.88333333333333,55
2016,PAMM      ,33,813.4333333333334,477
2016,PAPR      ,27,99.01666666666667,5
2016,PAQU      ,33,597.45,333
2016,PARN      ,12,22.416666666666668,2
2016,PATS      ,28,322.3833333333333,96
2016,PBAE      ,33,420.1166666666667,123
2016,PBCQ      ,32,434.4166666666667,218
2016,PBEZ      ,33,291.05,71
2016,PBMT      ,32,748.65,268
2016,PBVE      ,26,125.2,32
2016,PBWI      ,30,708.3833333333333,503
2016,PBWZ      ,15,242.51666666666665,93
2016,PCBX      ,4,26.21666666666667,5
2016,PCCD      ,33,779.1333333333333,289
2016,PCHX      ,30,471.7833333333333,225
2016,PCPR      ,21,579.6,266
2016,PJAN      ,10,202.01666666666665,62
2016,PJBX      ,27,504.76666666666665,197
2016,PJCC      ,30,484.15000000000003,202
2016,PJDR      ,29,802.2333333333333,496
2016,PJDU      ,29,451.81666666666666,225
2016,PJEA      ,28,628.7666666666667,281
2016,PJLX      ,35,670.9,266
2016,PJPF      ,26,50.35,19
2016,PJUG      ,2,19.85,7
2016,PJUO      ,33,883.4666666666667,393
2016,PJUP      ,19,438.3333333333333,89
2016,PJYB      ,10,147.45,28
2016,PKIW      ,29,426.23333333333335,136
2016,PKJP      ,29,381.18333333333334,135
2016,PKLT      ,35,919.1166666666667,436
2016,PKNO      ,30,376.56666666666666,46
2016,PKPD      ,30,630.3333333333334,139
2016,PKRH      ,22,457.75,144
2016,PLEM      ,29,474.3833333333333,165
2016,PLHI      ,35,696.8,254
