player_code,player_name,position
8032,"GONZALEZ, MIGUEL",G
8062,"MCDOWELL-WHITE, WILL",G
8072,"DIOP, KHALIFA",C
8084,"MANTZOUKAS, ELEFTHERIOS",F
8099,"STRAZEL, MATTHEW",G
8104,"ZAGARS, ARTURS",G
8152,"DOUGLAS, TONEY",G
8161,"BEGARIN, JUHANN",G
8173,"SPAGNOLO, MATTEO",G
8211,"DELOW, MALTE",G
8232,"POKUSEVSKI, ALEKSEJ",F
8250,"GRANT, SASHA",F
8253,"GEORGE, JASON",F
8282,"ILYASOGLU, OMERCAN",G
8348,"PAYNE, ADREIAN",F
8384,"PROCIDA, GABRIELE",F
848,"NEDOVIC, NEMANJA",G
8780,"HERMANNSSON, MARTIN",G
8811,"FALL, MOUSTAPHA",C
8829,"PETERS, ALEC",F
8847,"MICKEY, JORDAN",F
8850,"RAIESTE, SANDER",F
8855,"WALKUP, THOMAS",G
8858,"ENNIS, TYLER",G
8962,"HAYES-DAVIS, NIGEL",F
8966,"TOBEY, MIKE",C
8967,"THOMAS, MATT",G
8977,"AMAIZE, ROBIN",F
8985,"BOLMARO, LEANDRO",G
8987,"LEDAY, ZACH",F
8989,"HILLIARD, DARRUN",G
8991,"BLACK, TARIK",C
8995,"UKHOV, IVAN",G
9004,"O'BRYANT, JOHNNY",F
9005,"DECK, GABRIEL",F
9006,"WILLIAMS, DERRICK",F
9022,"WALTON JR, DERRICK",G
9035,"BOLOMBOY, JOEL",C
9048,"MILLER-MCINTYRE, CODI",G
9051,"NNOKO, LANDRY",C
9101,"FERRANDO, GUILLEM",G
9105,"JIMENEZ, MILLAN",G
9212,"VUKCEVIC, TRISTAN",F
9213,"NDIAYE, ELI",F
925,"VESELY, JAN",C
9299,"RUBSTAVICIUS, MANTAS",G
9472,"WILEY, JACOB",F
9513,"HOLLATZ, JUSTUS",G
9540,"MARTIN, HASSAN",C
9549,"CORDINIER, ISAIA",G
956,"ANDJUSIC, DANILO",G
9580,"ELLIS, OCTAVIUS",C
9601,"CAVANAUGH, TYLER",F
9622,"BROWN, LORENZO",G
9664,"WILLIS, DEREK",F
9733,"JEKIRI, TONYE",C
9748,"JEREBKO, JONAS",F
9752,"PEREZ, ALEX",G
9753,"GEBEN, MARTINAS",C
9754,"LOYD, JORDAN",G
9766,"KOUFOS, KOSTA",C
9783,"COLSON, BONZIE",F
981,"CANDAN, BERKAY",F
9818,"BENTIL, BENJAMIN",F
9834,"BRAY, TJ",G
9835,"MONROE, GREG",C
9846,"BRYANT, ELIJAH",G
9848,"COHEN, SANDY",G
9849,"DORSEY, TYLER",G
9862,"PUNTER, KEVIN",G
9863,"BALDWIN IV, WADE",G
9866,"WALDEN, COREY",G
9902,"MACK, SHELVIN",G
9903,"BILIGHA, PAUL",C
9917,"HOLLINS, AUSTIN",G
9960,"POYTHRESS, ALEX",F
9992,"BRIZUELA, DARIO",G
AAX,"REYES, FELIPE",F
AMM,"PRINTEZIS, GEORGIOS",F
BCN,"BELINELLI, MARCO",G
BFX,"MONIA, SERGEY",F
BGV,"VIALTSEV, EGOR",G
BMT,"FERNANDEZ, RUDY",F
BOG,"KING, ALEX",F
BWI,"JANKUNAS, PAULIUS",F
CCD,"DATOME, LUIGI",F
CPR,"SIMON, KRUNOSLAV",F
CVM,"RODRIGUEZ, SERGIO",G
JAN,"PONKRASHOV, ANTON",G
JBX,"KALNIETIS, MANTAS",G
JDR,"TEODOSIC, MILOS",G
JDU,"RADULJICA, MIROSLAV",C
JFO,"CASSPI, OMRI",F
JLX,"KURBANOV, NIKITA",F
JPF,"SAVAS, OGUZ",C
JUG,"RIBAS, PAU",G
JUJ,"HUERTAS, MARCELINHO",G
JUO,"SPANOULIS, VASSILIS",G
KIR,"KAHUDI, CHARLES",F
KIW,"CINCIARINI, ANDREA",G
KLT,"HEURTEL, THOMAS",G
KPD,"MILAKNIS, ARTURAS",G
KRH,"PERPEROGLOU, STRATOS",F
KVZ,"SHVED, ALEXEY",G
LBJ,"STIMAC, VLADIMIR",C
LCZ,"MOTIEJUNAS, DONATAS",C
LEM,"RADOSEVIC, LEON",C
LHI,"VORONTSEVICH, ANDREY",F
LHK,"PLEISS, TIBOR",C
LKY,"KHVOSTOV, DMITRY",G
LLH,"FRIDZON, VITALY",G
LME,"MARKOVIC, STEFAN",G
LRQ,"VAN ROSSOM, SAM",G
LRU,"SIMONOVIC, MARKO",F
LUO,"LAZIC, BRANKO",G
TFK,"DIOT, ANTOINE",G
TFX,"VOUGIOUKAS, IAN",C
TGB,"LLULL, SERGIO",G
13402,"BLAKENEY, ANTONIO",G
13284,"WAINRIGHT, ISH",F
11823,"ODIASE, TAI",C
10550,"GINAT, TOMER",F
4846,"TIMOR, BAR",G
13283,"PALATIN, GUY",G
11202,"SHAYOK, MARIAL",G
12604,"WILLIAMS, TREVION",C
13250,"DeJULIUS, DAVID",G
14416,"EDWARDS, KESSLER",F
12606,"WRIGHT IV, MCKINLEY",G
12593,"ELLIS, QUINN",G
14127,"BRISSETT, O'SHAE J",F
14124,"HORTON TUCKER, TALEN",G
14005,"ALSTON JR. , DERRICK",F
8192,"TUBELIS, AZUOLAS",F
12687,"NIANG, SALIOU",F
12796,"KABENGELE, MFIONDU",C
11217,"TAYLOR, KAMERON",F
5422,"JALLOW, KARIM",F
14013,"WATSON, GLYNN",G
14117,"LYLES, TREY",F
14088,"SELJAAS, ZACHARY",C
13290,"JESSUP, JUSTINIAN",G
14027,"DIAKITE, MAMADI",C
14115,"MOORE, OMARI",G
11927,"SLEVA, DUSTIN",F
10581,"OSETKOWSKI, DYLAN",F
10042,"MONTERO, JEAN",G
14152,"SIMMONS, KOBI",G
14008,"ROBINSON, JUSTIN",G
14006,"OKEKE, CHUMA",F
12403,"FAYE, MOUHAMED",C
13405,"ROBERSON, ANDRE",F
14163,"BUTLER, JARED",G
10319,"TRAORE, ARMEL",C
10431,"MORGAN, JEREMY",F
14102,"JONES, KAI",C
14178,"RHODEN, JARED",G
14010,"DOKOSSI, ALLAN",C
3458,"BERTANS, DAVIS",F
12618,"MASSA, BODIAN",F
13289,"SANTOS, MARCIO",C
13269,"CALE, MYLES",F
14014,"VAUTIER, BASTIEN",C
13379,"METU, CHIMEZIE",C
14207,"OMORUYI, EUGENE",C
14009,"STEVENS, LAMAR",F
14029,"IZUNDU, EBUKA",C
14168,"KEY, BRAXTON",F
14026,"FRISCH, CLEMENT",F
14190,"RADZEVICIUS, GYTIS",G
14012,"LEAF, TJ",F
14007,"MILTON, SHAKE",G
5793,"SY, BANDJA",F
12622,"MITCHELL, MATTHEW",F
14134,"NORRIS, MILES",F
11284,"FARIED, KENNETH",C
14119,"NOWELL, MARKQUIS",G
10465,"ANGOLA, BRAIAN",F
14011,"HOLMES, RICHAUN",C
6725,"EBOUA, PAUL",C
14016,"BOSTON JR., BRANDON",G
14123,"DOWTIN JR, JEFFREY",G
13365,"BROWN, VITTO",F
8325,"KAMENJAS, KENAN",C
14108,"DIARRA, ALIOU",C
14086,"DIALLO, HAMIDOU",F
5738,"GRAZULIS, ANDREJS",F
14025,"SWIDER, COLE",F
14015,"BACOT JR., ARMANDO",C
14162,"DINWIDDIE, SPENCER",G
9948,"MARCOS, JUANI",G
14213,"PAYNE, CAMERON",G
12591,"TUCKER, RAYJON",G
10318,"DESSERT, BRICE",C
14031,"KONDIC, KOSTA",G
12268,"ATAMNA, ADAM",G
14120,"LAVI, GUR",F
10035,"VILLAR, RAFA",G
14316,"JOSEPH, CORY",G
11305,"CARTER, TYSON",G
13396,"MAYS, SKYLAR",G
13695,"HOLIDAY, JUSTIN",F
14169,"LEN, ALEX",C
6904,"AYAYI, JOEL",G
13364,"JOHNSON, STANLEY",F
9556,"NGOUAMA, MEHDY",G
12058,"NDIAYE, OUSMANE",C
14219,"FERRARI, FRANCESCO",G
14220,"SILVA, CHRIS",C
13304,"HANKINS, ZACHARY",G
13372,"SCHOFIELD, ADMIRAL",F
13368,"YEBO, KEVIN",C
13774,"BAKER II , ROBERT",F
14212,"MORRIS, MONTE",G
14094,"MILJENOVIC, STEFAN",G
14157,"ELLIS, BOOGIE",G
13775,"WONG, ISAIAH",G
14004,"TAYLOR, BRANDON",G
14028,"GRAHAM, DEVONTE",G
14107,"JOKSIMOVIC, STEFAN",F
LMG,"MARJANOVIC, BOBAN",C
13696,"BANGO, JILSON",C
12885,"KEITA, SAYON",C
8176,"MUTAF, DAVID",G
13028,"BAIOCCHI, MATTEO",G
5596,"SIMA, YANKUBA",C
10162,"NOGUES, ISAAC",G
14141,"ARMSTRONG, TARAN",G
11626,"DOERRIES, AMON",F
12263,"SISSOKO, YOHANN",F
10784,"SAVKOV, PAVEL",F
