player_code,season,ppm_hat,ppm_sd,gap,ppm_lag_shrunk,ppm_actual
11286,2025,0.43472056598543984,0.06292666599684753,3.0,0.4259916228297723,0.4741598529009037
1133,2025,0.5975224361623979,0.06684111926934938,1.0,0.5672991178647715,0.6220865820773847
11442,2025,0.4273044401043845,0.22930382009104666,1.0,0.45249091702305894,0.44813278008298757
11816,2025,0.37139703323231726,0.11461376083486874,1.0,0.4200117920837426,0.3217358772914328
11836,2025,0.32483557160448456,0.09037779656614563,1.0,0.3640352594302045,0.40932965728200266
11935,2025,0.42553672056750547,0.11413895498868029,3.0,0.4539391063146159,1.0137839039573144
11948,2025,0.32578157387605056,0.07439731407553876,1.0,0.3420227968261904,0.3348660886658008
11949,2025,0.3893298118715644,0.10221695050035941,1.0,0.42549312202599565,0.31547584272945023
11980,2025,0.30247341771742864,0.11279066915406165,2.0,0.3618602516589329,0.1810500905250452
11981,2025,0.6520351266507063,0.07389254889129296,1.0,0.6075239549367597,0.6939115929941618
11982,2025,0.5741841444241533,0.07466807049901705,2.0,0.5580869010753495,0.3365705672473336
11983,2025,0.4311225540411324,0.0840668861010435,1.0,0.43701169946256546,0.2246241169011533
11987,2025,0.5964580881381475,0.06538029802838079,1.0,0.545898710199301,0.43156821327117756
12044,2025,0.4501664871795759,0.08705198216183065,1.0,0.4552758140447504,0.1412027001919861
12080,2025,0.33725145938622936,0.07026023547285623,1.0,0.3563196469772907,0.6449732172138614
12096,2025,0.4944752967457953,0.08008081844438372,2.0,0.4986527975375695,0.5498690787907641
12167,2025,0.41404265562823755,0.11968803786468951,1.0,0.42490617213268633,0.0
12201,2025,0.6405778628877848,0.06591513523447107,1.0,0.5905666778482102,0.6992419399031876
12365,2025,0.4107903790969461,0.37334644990474675,2.0,0.44455469139970705,0.0
12515,2025,0.37269236664050803,0.1034965919679896,1.0,0.41852282994070245,0.389465045139148
1255,2025,0.34746067877625514,0.08096160117741065,1.0,0.3905599642793106,0.16201414771430742
12585,2025,0.4104764946589791,0.08169196420092181,1.0,0.42459752986442173,0.6137352774840787
12597,2025,0.3473703306840726,0.0760529701941248,1.0,0.36781209264486747,0.34044484793463453
