budget_m,budget_rel,q,q_pred,n,spent_rel,used_pct,usage_w,marginal,marginal_pred,capped,season
14.0,14.0,126.09921255930206,117.68495282139803,12,13.974177838769203,0.9981555599120859,25.542018872970484,4.806589654903405,3.168903311186966,False,2025
15.0,15.0,116.42433844198365,120.54722592683926,12,14.990234105131103,0.9993489403420736,24.031363624646573,-9.67487411731841,2.8622731054412327,False,2025
16.0,16.0,124.95858713867055,123.58245090888211,12,15.952468222239478,0.9970292638899674,26.82247387144504,8.534248696686902,3.0352249820428483,False,2025
17.0,17.0,128.2651016900441,126.12367502825423,12,16.942509273821074,0.9966181925777102,26.37963373563703,3.306514551373553,2.5412241193721172,False,2025
18.0,18.0,118.11425795700815,128.16581016860678,12,17.940064119814185,0.9966702288785658,25.234110765908962,-10.150843733035956,2.0421351403525563,False,2025
19.0,19.0,116.19205955732758,130.83942263424186,12,18.900684497259917,0.9947728682768378,27.75362560131071,-1.9221983996805676,2.673612465635074,False,2025
20.0,20.0,119.35612471570943,132.23969856433482,12,19.633499551643865,0.9816749775821932,27.333093457247585,3.1640651583818453,1.4002759300929597,False,2025
21.0,21.0,123.05191118835019,133.6534022357547,12,20.843413458994384,0.9925434980473516,26.264732394692153,3.695786472640762,1.4137036714198814,False,2025
22.0,22.0,122.75983007455714,134.36356607069467,12,21.990633423221826,0.999574246510083,26.066642391772856,-0.2920811137930457,0.7101638349399764,False,2025
23.0,23.0,124.80209003860196,135.55201459566084,12,22.81962390257707,0.9921575609816118,27.63478939897417,2.042259964044817,1.1884485249661623,False,2025
24.0,24.0,121.70349149929568,135.65208582504874,12,23.96625662425012,0.9985940260104217,26.06000084307404,-3.0985985393062805,0.10007122938790758,False,2025
25.0,25.0,126.32116825621185,136.98862969555904,12,24.686849126011307,0.9874739650404523,28.21753339609745,4.617676756916168,1.3365438705102974,False,2025
26.0,26.0,127.3882155939709,137.731101823913,12,25.753181114414943,0.9905069659390363,27.263824519714387,1.0670473377590497,0.7424721283539668,False,2025
27.0,27.0,128.30885469137615,138.31391574860683,12,26.502983111734476,0.9815919671012769,27.784615784785192,0.9206390974052567,0.5828139246938235,False,2025
28.0,28.0,122.86801347963033,138.74462966571573,12,27.424825154264397,0.9794580412237285,28.007149058372498,-5.44084121174582,0.4307139171089034,False,2025
29.0,29.0,119.84656537071933,138.82953660916723,12,28.510516056540336,0.9831212433289771,27.727448929662366,-3.0214481089110024,0.08490694345150018,False,2025
30.0,30.0,118.57433951566604,138.87160493025965,12,29.780741431183223,0.9926913810394408,26.774022495016915,-1.2722258550532928,0.04206832109241532,False,2025
31.0,31.0,132.98126331564416,139.77895517894314,12,30.78629954867848,0.9931064370541445,27.44064317803618,14.406923799978117,0.9073502486834855,False,2025
32.0,32.0,133.5692970646256,140.59627906089634,12,31.87367813266012,0.9960524416456288,27.50259591036132,0.5880337489814451,0.8173238819532003,False,2025
33.0,33.0,134.4311623738619,141.25529089281864,12,32.65593122993069,0.9895736736342632,28.023387174868084,0.8618653092362933,0.6590118319222995,False,2025
34.0,34.0,135.42752234381535,141.92156511394413,12,33.68981211838329,0.9908768270112731,27.06967829905895,0.9963599699534598,0.6662742211254908,False,2025
35.0,35.0,130.20398400381868,142.39300767663732,12,34.61406061873119,0.9889731605351768,27.2993495252663,-5.223538339996679,0.4714425626931984,False,2025
36.0,36.0,131.14714566295171,142.59599132596435,13,35.90839741185569,0.997455483662658,27.45436130020253,0.9431616591330396,0.20298364932702384,False,2025
37.0,37.0,131.14489761206838,142.57017282005253,12,35.391500800365804,0.9565270486585352,27.45436130020253,-0.0022480508833382373,-0.025818505911814782,False,2025
38.0,38.0,129.61710375731744,142.60059697601065,12,37.9364841001095,0.99832852895025,26.231156101431367,-1.5277938547509393,0.03042415595811576,False,2025
39.0,39.0,129.62719659018092,142.5658496441751,12,38.74778665643496,0.99353299119064,26.231156101431367,0.010092832863477952,-0.0347473318355469,False,2025
40.0,40.0,129.76378453738326,142.566419547219,12,39.15544650776632,0.9788861626941581,26.231156101431367,0.13658794720234368,0.0005699030438961472,False,2025
